S000004533	Q04638
S000002789	Q12159
S000006397	Q06592
S000000792	P39979
S000003811	P21374
S000002200	P06700
S000005429	P53685
S000005936	P53686
S000000517	P25555
S000004949	P38922
S000005382	P25040
S000001023	P38736
S000001076	P38768
S000000336	P38090
S000001503	P35210
S000001472	P40578
S000000024	P39524
S000000968	P32660
S000002500	Q12675
S000005901	P46367
S000000875	P40047
S000005982	P54115
S000004780	P47771
S000004779	P54114
S000002487	P38959
S000005745	P33894
S000001070	P18962
S000003372	P32504
S000000810	P33332
S000002861	Q04120
S000004490	P34760
S000000160	P34227
S000003614	P47033
S000004154	Q06236
S000002585	P37298
S000005823	Q08749
S000004606	P40959
S000002476	P32571
S000001418	P40453
S000001806	P36026
S000005069	P53918
S000001704	P36032
S000005833	Q08777
S000005479	Q08268
S000004097	Q12090
S000003508	P53331
S000005296	P27514
S000000633	P25360
S000003734	P39535
S000000118	P36775
S000002264	P07269
S000002859	Q04116
S000005669	P35202
S000003839	P47125
S000003743	P39526
S000000815	P24384
S000003177	P53035
S000001229	P38873
S000006161	P02829
S000005365	P38902
S000001149	P32468
S000000595	P25342
S000004306	P32457
S000000022	P07866
S000001495	P33203
S000006356	Q06525
S000005245	P0CX50
S000005480	P0CX49
S000002625	P14737
S000003737	P32525
S000002656	Q03786
S000004016	Q01590
S000005234	P38629
S000004683	P49956
S000004948	P38921
S000004776	Q03829
S000002566	P46674
S000000437	P38151
S000000128	P38199
S000000542	P25567
S000002923	Q12034
S000000618	P25345
S000001061	P38707
S000006271	Q12425
S000005886	Q08831
S000001726	P36114
S000003618	P47031
S000007348	P57744
S000004612	Q03687
S000005887	P06776
S000001346	P40505
S000000011	P31385
S000000818	P40013
S000002553	P08153
S000004972	P53968
S000004121	P21192
S000000999	Q03497
S000005242	P48562
S000005473	Q12469
S000001159	P38825
S000003952	Q07825
S000005811	Q12305
S000005812	Q08742
S000005739	Q99314
S000005202	P53847
S000003849	P47134
S000000238	P38074
S000001655	P36049
S000003127	P53110
S000002393	P48365
S000001739	P36126
S000002478	Q12447
S000004296	P37297
S000004224	P13099
S000001022	P38737
S000000956	P39952
S000003294	P53239
S000005055	P40312
S000004885	Q03529
S000006309	Q06096
S000006006	P48415
S000003963	Q07878
S000001445	P32521
S000000143	P34216
S000003752	P40884
S000000503	P38158
S000001434	P0CW40
S000005517	Q08295
S000003519	P53051
S000003524	P53341
S000003757	P0CW41
S000001673	P25296
S000004771	P48353
S000000850	P39101
S000005777	Q08686
S000001496	P33204
S000001183	P0CX28
S000005106	P0CX27
S000000967	P04147
S000001057	P38760
S000001919	P39684
S000005209	P53843
S000001156	P38822
S000001058	P32793
