P38903	5527	9311	0.82
P38903	5526	9310	0.95
P38903	5525	9309	0.95
P38903	5529	9313	0.94
P38903	5528	9312	0.69
P31383	5518	9302	0.86
P31383	5519	9303	0.82
P31383	9989	9320	0.91
Q00362	5520	9304	0.84
Q00362	5521	9305	0.82
Q00362	55844	23732	0.81
Q00362	5522	9306	0.75
P47096	23498	4796	0.95
Q12471	5208	8873	0.95
P40433	5209	8874	0.5
P40433	5207	8872	0.5
P40433	5210	8875	0.47
P40433	5208	8873	0.0
P38720	5226	8891	0.86
P53319	5226	8891	0.84
P42884	22977	390	0.67
P42884	8574	389	0.67
P42884	246181	24056	1.0
P42884	8514	6229	0.95
P47182	22977	390	0.74
P47182	8574	389	0.74
P47182	246181	24056	1.0
P43547	9196	6230	0.95
P43547	22977	390	0.0
P43547	8574	389	0.0
P25612	22977	390	0.65
P25612	8574	389	0.65
P25612	246181	24056	1.0
Q07747	22977	390	0.65
Q07747	8574	389	0.65
Q07747	246181	24056	1.0
P12904	5571	9385	0.83
P12904	51422	9386	0.81
P12904	53632	9387	0.97
P37898	9520	7900	0.96
P37898	51752	18173	0.61
P37898	2028	3355	0.92
P37898	29953	30748	0.92
P37898	64167	29499	0.61
P37898	4012	6656	0.61
P37898	440434	-	0.93
P37898	206338	-	0.91
P37898	290	500	0.91
P32357	25980	15886	0.96
P23542	2805	4432	0.84
P23542	2806	4433	0.96
P23542	137362	28487	0.61
Q01802	2806	4433	0.69
Q01802	2805	4432	0.9
Q08641	339175	25755	0.79
Q08641	55798	18272	0.78
Q08641	131965	28343	0.92
Q08641	79828	25856	0.61
Q02486	3148	5000	1.01
Q02486	3149	5004	1.01
Q02486	3146	4983	1.0
Q02486	6934	11641	0.95
Q02486	83595	18196	0.91
Q02486	11166	11197	0.91
Q02486	6665	11196	0.91
Q02486	8403	11193	0.91
Q02486	64321	18122	0.91
Q02486	7343	12511	0.9
P15891	28988	2696	0.96
P15891	3927	6513	0.72
P15891	23527	16469	1.0
P15891	8853	2721	1.0
P15891	50807	2720	1.0
P15891	116983	16754	1.0
P15891	55616	14987	1.0
P15891	1627	2695	0.91
P15891	3059	4844	0.91
P15891	10529	16932	0.46
P15891	10174	30907	0.91
P15891	2017	3338	0.91
P15891	4892	7988	0.91
P15891	4703	7720	0.0
P39970	11016	792	0.97
P39970	1386	784	0.97
P39970	467	785	0.92
P39970	2355	3798	0.96
P39970	2353	3796	0.96
P39970	8061	13718	0.96
P39970	466	783	1.0
P39970	9586	16844	1.0
P39970	1385	2345	1.0
P39970	1390	2352	1.0
P39970	122953	17546	0.91
P39970	2354	3797	0.91
P39970	10538	958	0.91
P39970	116071	25163	0.91
P39970	55509	28915	0.91
P40535	122953	17546	0.91
P40535	2354	3797	0.91
P40535	11016	792	0.91
P40535	467	785	0.91
P40535	10538	958	0.91
P40535	2355	3798	0.91
P40535	2353	3796	0.91
P40535	1386	784	0.91
P40535	8061	13718	0.91
P40535	116071	25163	0.91
P40535	55509	28915	0.91
Q00955	31	84	0.86
Q00955	32	85	0.81
P31787	1622	2690	0.98
P31787	414149	17715	0.95
P31787	645877	-	0.91
P31787	38784	FBgn0010387	0.91
P21192	6670	11208	1.0
P21192	7071	11810	0.5
P21192	389058	14529	1.0
P21192	6667	11205	1.0
P21192	92595	28200	0.95
P21192	79364	28160	0.93
P21192	7789	13198	0.93
P21192	158586	13199	0.93
P21192	2971	4662	0.93
P21192	128209	18830	0.0
P21192	80320	14530	0.0
P21192	8462	11811	0.0
Q07622	9812	28969	0.96
Q07622	6400	10717	0.96
Q07622	80343	15897	1.0
Q07622	23231	29108	1.0
Q04401	57001	21752	0.8
P21147	79966	21088	0.84
P21147	6319	10571	0.81
P39533	50	118	0.62
P39533	3658	6115	0.92
P39533	48	117	0.92
P19414	50	118	0.86
P19414	3658	6115	0.9
P19414	48	117	0.9
P13711	51	119	0.95
P13711	8309	120	0.96
P13711	55289	25621	0.92
P13711	8310	121	0.47
P13711	37	92	0.91
P32463	4706	7694	0.78
Q01574	84532	16091	0.8
Q01574	55902	15814	0.95
Q01574	79611	24723	0.92
Q01574	65985	21298	0.93
Q01574	123876	32017	0.91
Q01574	341392	32016	0.91
Q01574	142827	31665	0.91
P52910	84532	16091	0.81
P52910	55902	15814	0.97
P52910	123876	32017	0.92
P52910	341392	32016	0.92
P52910	142827	31665	0.92
P52910	116285	18049	0.93
P52910	54988	26060	0.93
P52910	348158	30931	0.93
P52910	6296	10522	0.93
P52910	79611	24723	0.9
P60010	71	144	0.96
P60010	60	132	0.96
P60010	72	145	0.95
P60010	59	130	0.95
P60010	70	143	0.96
P60010	58	129	0.96
P60010	653269	37093	0.91
P60010	653781	37094	0.91
P60010	728378	33905	0.91
P60010	345651	17780	0.6
P60010	445582	33895	0.91
P60010	139741	24027	0.91
P60010	440915	30182	0.91
P60010	140625	24026	0.91
P60010	84517	24022	0.91
P60010	340441	33893	0.9
P60010	23784	133	0.9
P60010	388468	33894	0.9
P60010	317754	23822	0.9
P60010	100287399	48327	0.9
P60010	404785	33896	0.9
P60010	100996331	33734	0.9
Q02336	6871	11531	0.82
Q02336	93624	30781	0.79
Q02336	4851	7881	0.95
Q02336	4853	7882	0.95
P53909	100	186	0.86
P53909	161823	31853	0.95
P53909	51816	1839	0.95
P00330	1429	2419	0.95
P00331	57687	29315	0.95
P00331	284273	28697	0.91
P07246	284273	28697	0.93
P07246	9540	19373	0.95
P38113	128	253	0.95
P10127	137872	16354	0.81
Q04894	131	256	0.95
P25377	124	249	0.95
P25377	125	250	0.95
Q01976	11164	8052	0.84
P47143	132	257	0.86
P07248	116412	25164	0.95
P07248	125919	25281	0.95
P07248	221785	21961	0.95
P25371	9429	74	0.97
P25371	64137	13884	1.0
P25371	9619	73	1.0
P25371	64241	13887	0.93
P25371	64240	13886	0.93
P25371	154664	14638	0.93
P25371	10349	30	0.91
P25371	23460	36	0.91
P25371	10351	38	0.91
P25371	10350	39	0.91
Q12184	112812	30546	0.84
Q12184	2230	3638	0.94
Q12184	1355	2263	1.0
P48360	2232	3642	0.86
P18238	291	10990	0.84
P18238	83447	25319	0.82
P18238	292	10991	0.82
P18238	293	10992	0.82
P04710	83447	25319	0.81
P04710	291	10990	0.81
P04710	292	10991	0.81
P04710	293	10992	0.77
P18239	292	10991	0.84
P18239	83447	25319	0.82
P18239	291	10990	0.82
P18239	293	10992	0.79
P18239	10478	10987	0.91
P53930	8089	24859	0.96
P53930	55689	25489	0.92
P32317	246269	16411	0.86
P32794	166378	18119	0.84
P32794	7415	12666	0.93
P39925	10939	315	0.84
P39925	6687	11237	0.9
P39925	10730	12843	0.9
P32323	4582	7508	0.95
